TransactionID,CustomerID,Product,Brand,Amount,Quantity,Date,Platform,PaymentMethod
63,562,Travel,Xiaomi,1708000,3,2025-04-29,Website,ZaloPay
64,726,Travel,Adidas,652000,3,2025-01-06,Website,MoMo
65,635,Fashion,H&M,692000,3,2024-12-04,Tiki,MoMo
66,379,Books,Adidas,987000,1,2025-04-26,Website,COD
67,761,Food,Zara,1687000,4,2025-01-29,Shopee,Banking
68,613,Food,Apple,1488000,1,2024-09-03,Lazada,ZaloPay
69,809,Books,Samsung,870000,2,2025-01-06,Shopee,ZaloPay
70,199,Sports,Zara,314000,2,2025-04-04,Website,Banking
71,57,Sports,Zara,909000,1,2025-06-23,Website,COD
72,975,Food,Nike,863000,2,2024-08-14,Lazada,Banking
73,65,Fashion,H&M,1273000,2,2025-02-24,Tiki,COD
74,78,Beauty,H&M,1819000,1,2025-07-02,Shopee,Banking
75,369,Sports,H&M,852000,2,2024-08-10,Website,MoMo
76,697,Travel,Zara,417000,4,2024-10-31,Lazada,COD
77,582,Electronics,Samsung,245000,3,2025-04-30,Shopee,MoMo
78,235,Food,Xiaomi,705000,2,2024-09-24,Shopee,ZaloPay
79,120,Books,Samsung,1372000,2,2024-10-01,Shopee,COD
80,439,Travel,Adidas,751000,1,2025-03-10,Lazada,Banking
81,248,Books,Xiaomi,105000,1,2025-07-24,Tiki,COD
82,595,Electronics,Apple,63000,3,2025-03-06,Shopee,ZaloPay
83,840,Home,Samsung,866000,3,2024-11-05,Website,MoMo
84,947,Travel,H&M,1386000,2,2024-10-11,Tiki,ZaloPay
85,60,Electronics,Samsung,156000,3,2025-07-24,Website,COD
86,849,Travel,Samsung,490000,3,2025-07-13,Lazada,COD
87,779,Electronics,Zara,897000,2,2024-09-15,Tiki,Banking
88,511,Home,Samsung,102000,2,2024-09-08,Website,ZaloPay
89,473,Food,Adidas,1169000,2,2025-06-12,Lazada,ZaloPay
90,717,Travel,Zara,1545000,3,2024-11-29,Shopee,ZaloPay
91,555,Beauty,Adidas,509000,2,2025-06-06,Lazada,COD
92,464,Home,Zara,1900000,4,2024-10-10,Tiki,ZaloPay
93,194,Food,Nike,671000,1,2024-09-24,Tiki,MoMo
94,820,Beauty,Nike,745000,2,2024-10-11,Website,ZaloPay
95,537,Fashion,Zara,1474000,1,2025-01-29,Lazada,Banking
96,876,Sports,Samsung,1489000,3,2025-04-07,Website,ZaloPay
97,281,Beauty,H&M,753000,4,2024-11-10,Website,MoMo
98,964,Food,Xiaomi,1192000,2,2025-06-23,Website,MoMo
99,776,Beauty,Xiaomi,1516000,2,2024-08-17,Website,MoMo
100,840,Books,Zara,709000,4,2024-08-28,Shopee,Banking
101,866,Sports,Samsung,1393000,2,2025-02-20,Website,ZaloPay
102,443,Sports,Nike,1460000,1,2024-09-18,Website,ZaloPay
103,939,Books,Adidas,1778000,4,2025-07-02,Tiki,Banking
104,705,Travel,Zara,995000,2,2025-03-06,Website,COD
105,265,Travel,Nike,1262000,1,2025-06-12,Lazada,Banking
106,835,Home,Xiaomi,1148000,1,2025-05-23,Tiki,ZaloPay
107,596,Beauty,Xiaomi,613000,4,2025-06-20,Tiki,ZaloPay
108,289,Sports,Adidas,730000,4,2025-03-13,Tiki,COD
109,865,Beauty,Zara,390000,1,2025-05-14,Tiki,ZaloPay
110,81,Beauty,Samsung,649000,4,2024-08-16,Shopee,Banking
111,336,Home,Adidas,1229000,1,2024-12-18,Shopee,COD
112,370,Travel,Xiaomi,586000,1,2025-07-23,Lazada,Banking
113,115,Food,H&M,949000,3,2025-03-17,Website,Banking
114,986,Home,Apple,699000,1,2025-05-06,Website,Banking
115,675,Books,Samsung,773000,3,2024-09-14,Website,COD
116,708,Food,Nike,466000,4,2025-03-03,Tiki,COD
117,272,Home,Apple,1022000,2,2024-12-18,Tiki,ZaloPay
118,780,Home,H&M,844000,2,2024-11-22,Shopee,COD
119,973,Electronics,H&M,1377000,1,2025-08-05,Website,COD
120,292,Books,Nike,872000,3,2025-01-09,Lazada,MoMo
121,998,Fashion,Samsung,946000,1,2025-02-12,Shopee,COD
122,738,Electronics,H&M,1972000,2,2025-01-03,Website,COD
123,272,Beauty,Apple,1763000,4,2024-08-31,Shopee,Banking
124,701,Travel,Apple,1622000,4,2025-04-09,Lazada,COD
125,64,Electronics,Xiaomi,551000,3,2025-01-02,Shopee,Banking
126,985,Home,Adidas,1914000,2,2024-09-01,Website,MoMo
127,669,Sports,Apple,1796000,2,2025-01-06,Tiki,COD
128,157,Sports,Nike,219000,2,2025-05-15,Shopee,Banking
129,714,Books,Adidas,461000,1,2025-01-20,Lazada,MoMo
130,639,Beauty,Adidas,573000,4,2025-07-17,Website,ZaloPay
131,33,Home,Samsung,301000,1,2025-02-19,Website,Banking
132,340,Food,Samsung,1709000,4,2024-08-20,Shopee,ZaloPay
133,404,Home,Apple,100000,1,2024-11-13,Tiki,COD
134,397,Books,Apple,1188000,3,2025-02-21,Shopee,COD
135,941,Travel,Samsung,1545000,1,2025-07-27,Shopee,Banking
136,516,Books,Adidas,1673000,2,2025-02-04,Website,MoMo
137,532,Fashion,Adidas,947000,4,2024-10-09,Website,Banking
138,988,Electronics,Nike,1426000,1,2025-04-24,Website,ZaloPay
139,281,Travel,Adidas,1691000,4,2025-02-23,Tiki,Banking
140,302,Travel,Zara,1158000,4,2024-11-29,Tiki,ZaloPay
141,629,Home,Samsung,1121000,3,2024-12-28,Lazada,COD
142,238,Sports,Nike,200000,2,2025-01-27,Shopee,COD
143,654,Travel,Zara,917000,3,2025-08-06,Website,COD
144,479,Books,Apple,1655000,2,2025-05-31,Lazada,Banking
145,337,Sports,Samsung,1258000,1,2025-05-11,Lazada,MoMo
146,714,Sports,H&M,356000,3,2025-01-06,Shopee,ZaloPay
147,944,Food,Adidas,1749000,1,2025-05-14,Lazada,MoMo
148,824,Travel,Samsung,250000,2,2025-02-19,Website,COD
149,313,Books,Nike,938000,2,2025-03-04,Website,Banking
150,698,Travel,Nike,1606000,2,2024-12-30,Lazada,ZaloPay
151,411,Books,Adidas,119000,2,2025-01-11,Shopee,COD
152,545,Books,Nike,566000,1,2025-05-30,Shopee,Banking
153,1,Home,Nike,425000,4,2024-12-23,Lazada,MoMo
154,290,Home,Apple,547000,3,2025-02-06,Shopee,COD
155,563,Fashion,H&M,182000,3,2024-11-03,Website,MoMo
156,314,Beauty,Adidas,1996000,3,2024-11-15,Shopee,MoMo
157,658,Books,Nike,1698000,4,2025-05-20,Shopee,ZaloPay
158,54,Food,Nike,1553000,2,2024-09-09,Tiki,COD
159,221,Home,H&M,1978000,2,2025-06-11,Tiki,COD
160,773,Electronics,Adidas,451000,3,2025-04-08,Website,MoMo
161,255,Beauty,H&M,93000,3,2025-03-20,Lazada,Banking
162,130,Travel,Samsung,478000,1,2025-08-03,Lazada,Banking
163,38,Sports,Nike,156000,1,2025-05-05,Shopee,MoMo
164,813,Home,Samsung,1330000,2,2024-10-04,Shopee,MoMo
165,479,Fashion,Zara,1475000,2,2025-01-08,Lazada,ZaloPay
166,117,Food,Adidas,1201000,1,2025-02-24,Shopee,ZaloPay
167,756,Books,Apple,1699000,3,2024-10-08,Tiki,ZaloPay
168,651,Electronics,Apple,328000,2,2024-10-18,Shopee,Banking
169,830,Food,Nike,1670000,2,2024-12-25,Shopee,Banking
170,521,Travel,Adidas,1353000,2,2025-03-05,Lazada,Banking
171,333,Food,Adidas,1730000,3,2025-05-15,Shopee,MoMo
172,647,Home,Samsung,474000,2,2025-05-25,Tiki,Banking
173,349,Home,Nike,1706000,3,2025-03-16,Lazada,COD
174,386,Beauty,Xiaomi,1244000,4,2024-09-24,Tiki,COD
175,733,Sports,Nike,55000,4,2025-06-14,Tiki,MoMo
176,120,Electronics,Apple,1945000,3,2024-09-23,Shopee,Banking
177,415,Beauty,Xiaomi,1657000,3,2025-02-01,Tiki,ZaloPay
178,37,Sports,Zara,1931000,4,2025-01-15,Website,ZaloPay
179,922,Sports,Zara,1070000,2,2025-01-28,Lazada,COD
180,962,Fashion,Nike,1248000,1,2025-04-19,Tiki,MoMo
181,620,Electronics,Apple,566000,3,2024-10-29,Tiki,COD
182,188,Sports,Adidas,326000,3,2024-12-14,Tiki,MoMo
183,335,Books,Samsung,1379000,2,2025-01-12,Website,ZaloPay
184,217,Electronics,Adidas,1030000,4,2025-07-22,Tiki,MoMo
185,157,Travel,Xiaomi,1801000,2,2025-02-08,Shopee,COD
186,290,Food,Xiaomi,1066000,3,2025-05-01,Tiki,Banking
187,465,Fashion,Apple,1615000,1,2024-09-05,Shopee,COD
188,80,Food,Samsung,892000,4,2025-07-15,Lazada,COD
189,142,Fashion,Adidas,1423000,2,2024-10-20,Shopee,ZaloPay
190,178,Travel,Xiaomi,287000,1,2025-03-12,Lazada,ZaloPay
191,584,Home,Samsung,1247000,4,2024-09-03,Lazada,COD
192,841,Food,Nike,154000,2,2024-10-20,Shopee,COD
193,830,Fashion,Xiaomi,688000,2,2024-10-09,Shopee,MoMo
194,968,Books,H&M,725000,3,2025-08-06,Website,MoMo
195,972,Electronics,Nike,758000,1,2024-10-11,Lazada,COD
196,742,Sports,Adidas,68000,4,2025-06-14,Lazada,Banking
197,668,Fashion,Xiaomi,127000,1,2025-08-04,Tiki,ZaloPay
198,536,Food,H&M,682000,2,2025-06-16,Tiki,ZaloPay
199,472,Fashion,Samsung,725000,4,2024-09-23,Shopee,COD
200,810,Fashion,H&M,1087000,4,2025-08-05,Tiki,ZaloPay
201,42,Fashion,H&M,765000,3,2024-10-26,Tiki,ZaloPay
202,431,Electronics,Nike,1316000,1,2025-07-17,Website,MoMo
203,46,Electronics,Zara,1680000,1,2025-07-19,Lazada,ZaloPay
204,957,Food,Apple,1728000,2,2025-06-18,Website,MoMo
205,687,Sports,Apple,161000,2,2025-04-05,Shopee,MoMo
206,496,Electronics,Adidas,1718000,1,2025-01-16,Website,ZaloPay
207,252,Travel,Zara,1878000,2,2024-10-01,Website,ZaloPay
208,813,Travel,Xiaomi,877000,3,2024-10-24,Tiki,Banking
209,302,Food,Adidas,733000,4,2024-09-29,Shopee,MoMo
210,899,Sports,Xiaomi,1897000,1,2025-01-09,Tiki,Banking
211,455,Books,H&M,901000,3,2024-09-30,Shopee,ZaloPay
212,71,Food,Apple,1176000,4,2024-11-23,Shopee,MoMo
213,577,Home,Zara,1513000,3,2025-02-13,Website,Banking
214,848,Sports,Samsung,1254000,3,2024-10-17,Website,COD
215,136,Electronics,Adidas,192000,1,2025-06-29,Tiki,Banking
216,228,Fashion,Apple,991000,3,2025-01-15,Website,COD
217,709,Beauty,Xiaomi,1055000,1,2024-08-08,Website,ZaloPay
218,501,Fashion,H&M,1744000,4,2025-02-24,Lazada,Banking
219,437,Electronics,Zara,1835000,3,2025-07-13,Tiki,Banking
220,973,Electronics,Zara,962000,1,2025-02-08,Website,Banking
221,1,Sports,Adidas,1757000,2,2025-04-05,Shopee,COD
222,208,Travel,H&M,1934000,3,2024-10-27,Tiki,ZaloPay
223,800,Electronics,Samsung,1224000,1,2024-09-26,Lazada,MoMo
224,106,Travel,Zara,1837000,2,2025-04-06,Website,COD
225,429,Food,Adidas,1941000,3,2025-02-23,Website,COD
226,796,Food,H&M,1491000,2,2025-01-14,Website,COD
227,472,Beauty,H&M,409000,2,2025-06-01,Shopee,COD
228,384,Food,Nike,1098000,4,2025-04-21,Tiki,ZaloPay
229,221,Home,Zara,470000,4,2024-12-08,Shopee,Banking
230,190,Travel,Nike,1635000,1,2024-11-17,Shopee,MoMo
231,945,Food,Zara,1475000,3,2025-01-04,Tiki,COD
232,131,Beauty,H&M,584000,3,2025-04-23,Lazada,Banking
233,644,Sports,Zara,1856000,1,2024-11-10,Lazada,ZaloPay
234,508,Food,Adidas,1023000,2,2025-03-30,Website,MoMo
235,117,Fashion,H&M,924000,4,2024-09-02,Shopee,MoMo
236,10,Food,Samsung,394000,1,2024-08-21,Tiki,ZaloPay
237,649,Food,Apple,670000,1,2025-05-17,Tiki,COD
238,63,Beauty,Apple,729000,3,2025-07-16,Website,ZaloPay
239,752,Travel,Apple,938000,3,2024-09-30,Tiki,MoMo
240,635,Travel,Adidas,1479000,3,2025-06-28,Tiki,MoMo
241,654,Electronics,Nike,184000,1,2024-12-08,Lazada,ZaloPay
242,707,Books,Xiaomi,465000,3,2024-09-30,Shopee,ZaloPay
243,421,Food,Xiaomi,346000,4,2025-05-22,Shopee,ZaloPay
244,660,Books,H&M,664000,2,2024-10-24,Tiki,ZaloPay
245,909,Beauty,H&M,1023000,1,2024-10-19,Tiki,COD
246,467,Food,Nike,649000,2,2025-03-01,Shopee,ZaloPay
247,852,Travel,Xiaomi,718000,3,2025-01-08,Tiki,Banking
248,891,Electronics,Xiaomi,1477000,4,2025-06-15,Tiki,ZaloPay
249,838,Books,Xiaomi,100000,1,2025-01-23,Tiki,MoMo
250,726,Food,H&M,1106000,2,2024-09-14,Lazada,COD
251,449,Travel,Zara,713000,2,2025-05-23,Lazada,Banking
252,943,Food,H&M,348000,2,2024-09-30,Shopee,Banking
253,678,Sports,Zara,113000,1,2024-08-14,Tiki,Banking
254,224,Beauty,H&M,728000,4,2025-05-27,Website,ZaloPay
255,724,Fashion,Apple,196000,3,2025-05-09,Lazada,MoMo
256,164,Travel,Samsung,1819000,4,2025-01-04,Shopee,ZaloPay
257,225,Food,Adidas,1280000,2,2025-04-20,Shopee,Banking
258,283,Fashion,Samsung,1573000,3,2024-09-05,Lazada,MoMo
259,271,Home,Zara,453000,3,2025-07-25,Tiki,Banking
260,386,Sports,Adidas,354000,4,2024-11-20,Lazada,MoMo
261,467,Beauty,Samsung,1083000,2,2025-04-01,Tiki,Banking
262,92,Sports,Nike,1082000,1,2024-12-08,Shopee,COD
263,536,Food,H&M,661000,1,2025-07-30,Lazada,COD
264,719,Books,Apple,1194000,2,2024-08-30,Tiki,MoMo
265,764,Books,Xiaomi,1697000,4,2024-09-10,Lazada,ZaloPay
266,48,Electronics,Samsung,1516000,1,2025-06-26,Lazada,MoMo
267,802,Beauty,H&M,1144000,1,2025-07-11,Lazada,Banking
268,444,Travel,Nike,1802000,1,2024-08-15,Website,COD
269,250,Fashion,Nike,1309000,2,2025-05-28,Lazada,MoMo
270,924,Beauty,Apple,356000,4,2025-01-18,Website,MoMo
271,133,Home,Nike,1614000,2,2025-08-04,Lazada,MoMo
272,12,Sports,Xiaomi,1734000,1,2025-01-31,Website,COD
273,8,Travel,Zara,89000,2,2024-12-11,Lazada,MoMo
274,184,Travel,H&M,748000,4,2025-04-14,Tiki,ZaloPay
275,989,Fashion,Nike,1183000,1,2025-05-28,Website,COD
276,730,Electronics,H&M,983000,4,2025-01-07,Tiki,Banking
277,904,Fashion,Apple,1888000,1,2024-09-03,Lazada,Banking
278,151,Fashion,H&M,681000,2,2025-06-18,Website,MoMo
279,329,Home,Adidas,1785000,3,2025-05-14,Website,ZaloPay
280,126,Food,Xiaomi,586000,1,2024-09-15,Website,MoMo
281,464,Fashion,Zara,1236000,1,2025-01-01,Website,COD
282,953,Food,Zara,82000,3,2025-02-01,Website,MoMo
283,189,Travel,Apple,604000,3,2024-12-17,Tiki,MoMo
284,326,Food,Nike,1583000,3,2024-08-15,Lazada,Banking
285,364,Electronics,Adidas,318000,3,2025-04-28,Tiki,MoMo
286,663,Sports,Adidas,946000,4,2024-09-29,Shopee,MoMo
287,387,Beauty,Samsung,212000,3,2025-01-25,Website,ZaloPay
288,573,Sports,Apple,1664000,4,2025-07-16,Lazada,ZaloPay
289,834,Fashion,H&M,1138000,3,2024-11-11,Website,ZaloPay
290,407,Books,H&M,1789000,3,2025-05-26,Website,Banking
291,99,Fashion,Xiaomi,1880000,4,2025-03-24,Tiki,ZaloPay
292,119,Electronics,Zara,1794000,4,2024-11-23,Website,MoMo
293,386,Travel,H&M,1272000,1,2024-12-02,Website,MoMo
294,783,Fashion,H&M,682000,4,2025-08-05,Shopee,Banking
295,919,Sports,Nike,1173000,3,2025-02-10,Shopee,Banking
296,665,Sports,Zara,1251000,1,2025-07-31,Website,MoMo
297,470,Electronics,Zara,1484000,3,2025-05-11,Lazada,Banking
298,244,Sports,Apple,1454000,3,2025-05-31,Website,COD
299,914,Fashion,Adidas,401000,4,2025-03-23,Website,ZaloPay
300,889,Fashion,Adidas,794000,1,2025-04-03,Lazada,ZaloPay
301,256,Travel,Nike,1782000,2,2025-03-19,Website,MoMo
302,547,Food,Xiaomi,1824000,2,2025-03-29,Website,Banking
303,897,Food,H&M,1960000,1,2024-11-11,Tiki,COD
304,78,Home,Nike,847000,2,2024-09-18,Shopee,ZaloPay
305,272,Books,Zara,1456000,2,2025-07-24,Tiki,MoMo
306,392,Food,H&M,1347000,1,2025-07-26,Tiki,MoMo
307,399,Books,Zara,1833000,3,2025-02-06,Tiki,MoMo
308,247,Sports,Nike,1786000,3,2025-03-17,Lazada,MoMo
309,132,Books,H&M,1882000,4,2025-07-21,Shopee,ZaloPay
310,712,Fashion,H&M,1501000,1,2025-07-15,Shopee,COD
311,44,Food,Samsung,1596000,2,2025-05-03,Lazada,ZaloPay
312,672,Travel,Zara,1168000,1,2024-11-16,Website,ZaloPay
313,899,Travel,Zara,1234000,2,2024-12-22,Tiki,Banking
314,340,Beauty,Apple,957000,4,2024-08-16,Lazada,COD
315,705,Sports,Nike,485000,2,2024-12-29,Lazada,ZaloPay
316,177,Sports,Apple,1891000,3,2025-01-10,Tiki,ZaloPay
317,190,Home,Nike,309000,3,2025-02-25,Tiki,Banking
318,678,Beauty,Zara,1560000,1,2024-10-22,Website,MoMo
319,536,Food,Adidas,946000,4,2024-11-02,Tiki,Banking
320,711,Beauty,Zara,1082000,2,2024-11-27,Website,ZaloPay
321,991,Fashion,Apple,676000,1,2025-04-27,Tiki,Banking
322,115,Books,Zara,1464000,1,2025-02-10,Website,Banking
323,2,Home,Xiaomi,593000,3,2025-06-04,Shopee,Banking
324,971,Home,Xiaomi,1731000,1,2025-06-23,Shopee,ZaloPay
325,872,Beauty,Nike,1696000,3,2025-01-21,Tiki,Banking
326,636,Home,Xiaomi,920000,1,2024-09-15,Shopee,COD
327,859,Electronics,Zara,1580000,2,2025-02-03,Shopee,ZaloPay
328,106,Sports,Xiaomi,1173000,4,2024-10-22,Shopee,ZaloPay
329,371,Home,Nike,962000,3,2024-08-21,Website,Banking
330,9,Fashion,H&M,225000,4,2024-12-08,Shopee,COD
331,417,Fashion,Samsung,1939000,3,2025-04-28,Tiki,Banking
332,622,Travel,Nike,1351000,1,2024-08-12,Lazada,ZaloPay
333,372,Food,Samsung,1326000,1,2024-12-06,Tiki,ZaloPay
334,180,Electronics,Nike,311000,4,2024-08-17,Website,Banking
335,641,Food,Apple,1331000,4,2025-04-29,Lazada,COD
336,867,Books,Nike,1480000,1,2025-05-26,Lazada,COD
337,753,Sports,Nike,982000,3,2025-01-17,Shopee,MoMo
338,680,Electronics,Nike,1071000,2,2025-01-14,Tiki,MoMo
339,984,Food,Samsung,1843000,4,2024-11-09,Shopee,COD
340,951,Travel,Nike,1123000,4,2024-10-24,Tiki,ZaloPay
341,802,Sports,Xiaomi,173000,2,2025-02-03,Website,COD
342,234,Books,Adidas,1377000,2,2024-09-21,Tiki,Banking
343,987,Fashion,Nike,1857000,1,2025-04-02,Shopee,COD
344,747,Home,Zara,1232000,4,2025-02-10,Website,ZaloPay
345,437,Sports,Nike,1495000,1,2025-02-28,Lazada,Banking
346,445,Travel,H&M,863000,4,2025-03-24,Tiki,COD
347,385,Books,Zara,1264000,1,2024-11-08,Website,Banking
348,568,Food,Xiaomi,1291000,4,2025-05-09,Lazada,MoMo
349,489,Electronics,Apple,1361000,1,2024-09-29,Shopee,MoMo
350,810,Food,Zara,502000,3,2024-10-29,Shopee,Banking
351,3,Books,Apple,597000,4,2025-04-19,Website,MoMo
352,4,Food,Apple,1625000,1,2024-11-05,Lazada,COD
353,621,Travel,Adidas,1375000,1,2024-08-28,Website,MoMo
354,363,Electronics,Nike,1539000,2,2025-01-09,Website,ZaloPay
355,129,Travel,H&M,1072000,1,2025-07-23,Website,COD
356,230,Home,H&M,1782000,3,2025-04-14,Lazada,COD
357,776,Food,H&M,1455000,4,2025-01-13,Shopee,COD
358,538,Beauty,Adidas,1823000,2,2025-07-04,Lazada,Banking
359,475,Books,H&M,394000,1,2024-08-17,Shopee,MoMo
360,121,Beauty,Zara,1175000,2,2025-07-27,Website,COD
361,588,Sports,Adidas,1954000,4,2025-07-11,Website,MoMo
362,701,Home,Adidas,699000,1,2024-09-09,Tiki,COD
363,122,Fashion,Xiaomi,637000,3,2025-05-07,Website,ZaloPay
364,114,Electronics,H&M,248000,1,2024-12-07,Website,MoMo
365,845,Sports,Xiaomi,1471000,1,2025-02-22,Lazada,Banking
366,431,Electronics,Zara,1111000,4,2024-10-05,Lazada,COD
367,44,Food,Zara,118000,3,2025-01-19,Lazada,Banking
368,825,Fashion,Adidas,1865000,2,2024-10-02,Lazada,COD
369,794,Books,Zara,538000,3,2024-08-19,Shopee,MoMo
370,775,Electronics,Adidas,1065000,4,2025-03-17,Website,Banking
371,574,Books,Samsung,1616000,1,2024-11-07,Website,Banking
372,460,Travel,Adidas,1841000,3,2025-01-24,Website,MoMo
373,666,Books,Nike,1038000,2,2025-05-23,Tiki,COD
374,278,Sports,Apple,1229000,3,2024-09-16,Tiki,Banking
375,369,Home,Xiaomi,205000,4,2024-12-14,Website,COD
376,588,Fashion,Nike,1230000,1,2025-06-25,Shopee,COD
377,80,Food,Nike,697000,3,2025-04-16,Website,Banking
378,772,Travel,Zara,876000,2,2025-04-24,Tiki,MoMo
379,422,Books,Zara,55000,1,2024-10-01,Website,COD
380,621,Beauty,Adidas,356000,2,2025-08-01,Shopee,COD
381,710,Electronics,Zara,806000,1,2025-05-15,Website,COD
382,662,Travel,Xiaomi,1622000,1,2025-03-14,Tiki,Banking
383,572,Fashion,Apple,1207000,3,2025-07-10,Shopee,COD
384,496,Sports,H&M,1874000,2,2024-10-31,Website,ZaloPay
385,975,Food,H&M,959000,4,2025-05-14,Tiki,COD
386,677,Books,Xiaomi,413000,3,2024-08-13,Website,COD
387,145,Home,H&M,432000,4,2025-03-08,Tiki,MoMo
388,959,Food,Adidas,435000,3,2024-09-28,Tiki,ZaloPay
389,43,Home,Nike,1524000,3,2025-07-04,Tiki,Banking
390,686,Travel,Adidas,197000,3,2024-09-22,Tiki,MoMo
391,939,Books,Nike,1550000,1,2024-11-06,Website,MoMo
392,769,Electronics,Zara,952000,2,2025-04-06,Tiki,ZaloPay
393,821,Books,Apple,1984000,1,2025-06-16,Tiki,COD
394,81,Fashion,Zara,1684000,2,2025-01-29,Website,COD
395,615,Books,Apple,105000,1,2024-09-13,Tiki,Banking
396,625,Food,Adidas,1230000,3,2025-07-10,Website,Banking
397,320,Electronics,Apple,606000,3,2024-11-28,Lazada,ZaloPay
398,953,Beauty,H&M,1873000,1,2025-07-05,Shopee,COD
399,178,Books,Nike,1918000,1,2024-12-15,Tiki,ZaloPay
400,738,Sports,Xiaomi,1765000,1,2024-09-01,Lazada,COD
401,250,Fashion,Zara,826000,2,2024-12-25,Lazada,ZaloPay
402,27,Books,Samsung,690000,1,2024-10-28,Shopee,MoMo
403,215,Beauty,Xiaomi,360000,1,2025-07-23,Lazada,MoMo
404,351,Food,Zara,1761000,2,2025-02-14,Tiki,COD
405,274,Beauty,H&M,204000,3,2024-12-09,Website,MoMo
